problem_phrog	count_otu_tables	median_microbial_readcount	total_microbial_readcount
phrog_3916	1	5.0	5
phrog_122	1	5.0	5
phrog_957	1	5.0	5
phrog_1657	1	6.0	6
phrog_1780	1	1.0	1
phrog_24330	1	4.0	4
phrog_26419	1	3.0	3
phrog_176	2	4.5	9
phrog_544	1	6.0	6
phrog_759	1	8.0	8
phrog_1161	1	7.0	7
phrog_1404	1	12.0	12
phrog_16547	1	1.0	1
phrog_1383	1	1.0	1
phrog_6466	1	8.0	8
phrog_1384	1	9.0	9
phrog_3861	1	4.0	4
phrog_4311	1	5.0	5
phrog_319	1	3.0	3
phrog_9552	1	7.0	7
phrog_337	2	1.5	3
phrog_1289	1	2.0	2
phrog_4603	1	6.0	6
phrog_4952	1	5.0	5
phrog_1985	2	8.5	17
phrog_7622	1	8.0	8
phrog_13	2	4.5	9
phrog_108	2	5.5	11
phrog_156	1	10.0	10
phrog_252	2	5.5	11
phrog_260	2	5.0	10
phrog_334	1	4.0	4
phrog_399	1	3.0	3
phrog_437	1	3.0	3
phrog_486	1	3.0	3
phrog_511	1	5.0	5
phrog_75	2	9.0	18
phrog_82	1	8.0	8
phrog_2353	1	6.0	6
phrog_6020	1	5.0	5
phrog_8940	1	5.0	5
phrog_1227	1	4.0	4
phrog_16877	2	1.5	3
phrog_785	1	10.0	10
phrog_807	1	7.0	7
phrog_5078	1	9.0	9
phrog_1701	1	3.0	3
phrog_3171	1	9.0	9
phrog_16999	1	5.0	5
phrog_6799	1	8.0	8
phrog_11355	1	5.0	5
phrog_4374	1	11.0	11
phrog_1688	1	4.0	4
phrog_2680	1	7.0	7
phrog_2780	1	4.0	4
